PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
LICENCIATURA EN PEDAGOGÍA INFANTIL;Eusebio Piña Chacón;755629693;49;No;Rural;F;Divorciado;Recursos Propios;REGULAR PREGRADO;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Íngrid del Palomo;592819761;38;No;Rural;M;Religioso;Beca;PUEBLO INDIGENA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Albano Lázaro Casas Viña;364372441;48;No;Urbana;F;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;María Fernanda Estela Galiano Zamora;729441486;29;No;Urbana;M;Casado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Amor Vázquez Silva;807226629;50;Sí;Rural;F;Casado;Beca;REGULAR PREGRADO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Isidoro Colomer Requena;933770870;44;No;Rural;F;Madre soltera;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Adelardo Quiroga Carreño;362326383;32;No;Urbana;M;Soltero;Familia;REGULAR PREGRADO;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosa María Castro Gelabert;451392806;45;No;Rural;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
MERCADEO;Tamara Ángela Macías Vilanova;221441490;43;Sí;Urbana;M;Unión Libre;Crédito;COMUNIDAD NEGRA;No;No;1
ADMINISTRACIÓN FINANCIERA;Pablo Barroso Mesa;905452808;43;No;Urbana;F;Soltero;Beca;REGULAR PREGRADO;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Alfredo Torres Uribe;546676661;20;Sí;Rural;F;Casado;Familia;PUEBLO INDIGENA;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;José Mari Noriega;859821820;33;No;Urbana;M;Divorciado;Crédito;COMUNIDAD NEGRA;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Javiera Valls Benavides;80915350;24;No;Rural;F;Divorciado;Crédito;PUEBLO INDIGENA;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;María Jesús de Anglada;42416442;16;Sí;Urbana;F;Religioso;Beca;REGULAR PREGRADO;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Tomasa Lillo Ortiz;793017881;30;Sí;Rural;F;Madre soltera;Crédito;DESPLAZADO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Lupe Carro Tenorio;539907940;26;No;Urbana;M;Casado;Beca;PUEBLO INDIGENA;No;No;4
ADMINISTRACIÓN FINANCIERA;Oriana Peiró Calatayud;49480803;19;Sí;Rural;F;Madre soltera;Beca;COMUNIDAD NEGRA;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;Plinio Cobos Velasco;928528521;47;Sí;Rural;F;Soltero;Crédito;PUEBLO INDIGENA;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Bibiana Ana Belén Anguita Carbó;319480774;42;No;Rural;M;Unión Libre;Familia;PUEBLO INDIGENA;No;Sí;2
MERCADEO;Cristian Belmonte Higueras;284941085;51;No;Urbana;F;Madre soltera;Crédito;PUEBLO INDIGENA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Felicidad Royo Carballo;235372883;49;Sí;Rural;F;Unión Libre;Recursos Propios;REGULAR PREGRADO;Sí;No;1
MERCADEO;Narcisa Amores-Navarrete;710761840;17;No;Rural;F;Religioso;Recursos Propios;PUEBLO INDIGENA;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Vinicio Cobo Amorós;581836725;25;No;Rural;M;Soltero;Beca;PUEBLO INDIGENA;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Lourdes Pilar Collado Losa;484473148;27;Sí;Urbana;F;Unión Libre;Familia;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Belén Nazaret Cazorla Martín;482301422;46;Sí;Rural;F;Divorciado;Familia;COMUNIDAD NEGRA;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Edelmiro Alegria Palomino;553468326;30;Sí;Rural;M;Soltero;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Samanta Maldonado Arroyo;812258841;53;Sí;Rural;M;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Paloma Solís;846197880;26;No;Urbana;F;Soltero;Familia;REGULAR PREGRADO;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ámbar Puga Castro;910951206;45;No;Urbana;F;Religioso;Crédito;PUEBLO INDIGENA;No;Sí;2
MERCADEO;Cirino Huertas Bernat;585835962;36;No;Urbana;F;Religioso;Crédito;DESPLAZADO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Juan Francisco Molina Tenorio;517314746;25;Sí;Urbana;M;Soltero;Familia;COMUNIDAD NEGRA;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Rosalinda Clemente Aroca;952627522;46;No;Rural;F;Casado;Crédito;REGULAR PREGRADO;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Rita Vendrell;809613033;37;No;Urbana;F;Madre soltera;Familia;REGULAR PREGRADO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Liliana Echevarría Conesa;442477476;49;No;Urbana;M;Soltero;Crédito;COMUNIDAD NEGRA;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Victoria Tejada;633320078;40;Sí;Urbana;M;Divorciado;Recursos Propios;REGULAR PREGRADO;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Vito Soler Valentín;673961819;26;Sí;Urbana;M;Unión Libre;Beca;PUEBLO INDIGENA;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Lidia de Torres;551432143;37;Sí;Urbana;F;Madre soltera;Crédito;COMUNIDAD NEGRA;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Dafne Soraya Gallart Seguí;789703796;49;Sí;Rural;F;Madre soltera;Beca;COMUNIDAD NEGRA;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Ana Belén del Ortiz;212564577;49;Sí;Urbana;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;No;4
ADMINISTRACIÓN FINANCIERA;Sol Almeida Diaz;314529043;41;Sí;Rural;M;Madre soltera;Crédito;REGULAR PREGRADO;Sí;Sí;3
MERCADEO;Maribel Escolano Pozuelo;731928028;33;Sí;Urbana;F;Unión Libre;Crédito;DESPLAZADO;Sí;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Urbano Alcaraz Cabello;369058734;51;Sí;Rural;F;Casado;Beca;REGULAR PREGRADO;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Lina Arregui Galan;633442272;25;No;Urbana;F;Soltero;Familia;REGULAR PREGRADO;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Adelia Peña-Cuéllar;226275192;42;No;Rural;F;Soltero;Beca;COMUNIDAD NEGRA;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Ramón Pujadas Vilaplana;803553334;45;No;Urbana;M;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Vanesa Aguilera Cabañas;383754418;31;Sí;Urbana;F;Madre soltera;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Narciso Sola Hernández;853990230;28;Sí;Urbana;F;Divorciado;Crédito;DESPLAZADO;Sí;Sí;3
MERCADEO;Perla Cuervo Corral;645364539;43;No;Urbana;F;Religioso;Crédito;PUEBLO INDIGENA;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lisandro Abella Robledo;783275574;42;Sí;Rural;F;Madre soltera;Beca;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Geraldo Tirado Vallejo;461742810;26;No;Rural;M;Divorciado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Margarita Rosell;476656225;48;No;Rural;F;Divorciado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Javiera Cerdá Oller;363664530;41;Sí;Rural;M;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jacobo Ripoll Martin;960198855;53;No;Rural;F;Madre soltera;Beca;DESPLAZADO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Albert Español Sainz;761528718;29;No;Rural;M;Madre soltera;Crédito;REGULAR PREGRADO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Luisa de Tello;48790009;46;No;Urbana;F;Religioso;Beca;COMUNIDAD NEGRA;Sí;No;4
MERCADEO;Reina Casanovas Santana;817912829;39;No;Urbana;M;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Liliana Francisco Salgado;842169089;29;No;Urbana;M;Unión Libre;Beca;COMUNIDAD NEGRA;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Toni Peral-Franch;880461484;27;No;Urbana;M;Unión Libre;Beca;PUEBLO INDIGENA;No;No;3
MERCADEO;Alonso Blanes Casado;93039308;37;Sí;Rural;F;Madre soltera;Beca;PUEBLO INDIGENA;Sí;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Amanda Bou Robledo;306510295;26;Sí;Urbana;F;Unión Libre;Recursos Propios;DESPLAZADO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Fabiola del Corral;658436832;29;Sí;Rural;M;Madre soltera;Crédito;DESPLAZADO;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;María Cristina Ferrero-Villalobos;14387541;48;No;Rural;F;Religioso;Beca;REGULAR PREGRADO;Sí;Sí;5
MERCADEO;Reyes Benigna Cueto Villar;567944152;23;Sí;Rural;M;Soltero;Beca;COMUNIDAD NEGRA;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Viviana Abascal Palomares;347315970;27;No;Urbana;F;Soltero;Crédito;PUEBLO INDIGENA;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Toño Inocencio Baños Julián;806213767;37;Sí;Rural;F;Divorciado;Crédito;REGULAR PREGRADO;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Sol Judith Suárez Bernad;710690157;20;No;Urbana;F;Unión Libre;Beca;PUEBLO INDIGENA;Sí;Sí;1
MERCADEO;Montserrat Losa-Escalona;188168311;22;No;Rural;F;Religioso;Crédito;REGULAR PREGRADO;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Samanta Mancebo Cuesta;977158409;40;No;Rural;F;Casado;Beca;COMUNIDAD NEGRA;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Margarita Roldan Sevilla;704152495;41;No;Rural;M;Madre soltera;Familia;DESPLAZADO;Sí;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Nereida Guillen;24861860;50;No;Urbana;M;Divorciado;Beca;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Nazaret Zabaleta-Sarabia;415790528;44;No;Rural;M;Divorciado;Beca;PUEBLO INDIGENA;Sí;No;5
MERCADEO;Agustín de Bustos;648675500;41;Sí;Urbana;M;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ámbar del Adadia;508669535;31;Sí;Rural;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Juan Francisco de Alarcón;814846075;46;No;Rural;M;Madre soltera;Familia;DESPLAZADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Matías Bermejo;515037365;24;No;Urbana;F;Madre soltera;Familia;PUEBLO INDIGENA;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Edelmira Áurea Pombo Vicens;88386890;23;Sí;Rural;F;Unión Libre;Recursos Propios;REGULAR PREGRADO;Sí;Sí;5
ADMINISTRACIÓN FINANCIERA;Joaquina Garcés Gallardo;577485165;40;No;Rural;M;Soltero;Crédito;DESPLAZADO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Matías Chacón Baena;156976862;45;No;Urbana;M;Unión Libre;Familia;REGULAR PREGRADO;No;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Adela Ferrández Escamilla;108932106;29;No;Rural;F;Divorciado;Recursos Propios;REGULAR PREGRADO;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Leonor Luna Rueda Mascaró;256370881;44;Sí;Urbana;F;Casado;Crédito;COMUNIDAD NEGRA;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Eutropio Fonseca Escalona;606215254;52;No;Rural;F;Unión Libre;Recursos Propios;DESPLAZADO;Sí;No;4
MERCADEO;Noelia Saturnina Romeu Palma;54554748;21;No;Urbana;M;Unión Libre;Crédito;COMUNIDAD NEGRA;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Coral Gracia Borrell;763690902;35;Sí;Rural;M;Soltero;Recursos Propios;DESPLAZADO;Sí;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Odalis de Coll;966091680;26;Sí;Urbana;M;Soltero;Familia;REGULAR PREGRADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Manola Julián Torrent;632160386;29;Sí;Rural;F;Unión Libre;Crédito;PUEBLO INDIGENA;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Regina Páez Piñeiro;76155452;48;No;Rural;M;Unión Libre;Recursos Propios;PUEBLO INDIGENA;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Joaquina Miriam Benitez Rey;20323448;25;No;Urbana;F;Religioso;Beca;COMUNIDAD NEGRA;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Luna Cuadrado Salazar;503503362;20;No;Rural;F;Soltero;Recursos Propios;PUEBLO INDIGENA;No;No;2
MERCADEO;Rafael Aguilar Miralles;14020641;41;Sí;Rural;F;Divorciado;Familia;PUEBLO INDIGENA;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Máxima Silva Aragón;409587985;26;No;Rural;F;Casado;Crédito;REGULAR PREGRADO;No;No;2
MERCADEO;Fabiola Carmona Expósito;192709793;44;Sí;Rural;M;Casado;Crédito;DESPLAZADO;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Jeremías Araujo;621482356;32;Sí;Urbana;F;Religioso;Crédito;PUEBLO INDIGENA;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Efraín del Alemany;157732080;36;Sí;Rural;M;Religioso;Crédito;REGULAR PREGRADO;Sí;Sí;5
MERCADEO;Manuela Castejón-Plana;833089098;21;No;Urbana;M;Soltero;Beca;REGULAR PREGRADO;Sí;No;5
MERCADEO;Samu Osorio Chaves;193740003;17;No;Rural;M;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Maricruz Felipa Clemente Ferrández;634939477;25;Sí;Rural;M;Religioso;Familia;COMUNIDAD NEGRA;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jose Carlos Sanabria Lluch;619031773;48;Sí;Urbana;M;Casado;Recursos Propios;DESPLAZADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Eusebia Izaguirre Macías;61348239;47;Sí;Rural;F;Soltero;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Fanny Sarmiento;58383824;30;Sí;Urbana;M;Casado;Familia;PUEBLO INDIGENA;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;David Gómez Ripoll;459757105;35;No;Rural;M;Casado;Crédito;DESPLAZADO;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Balduino Peiró Pinto;492261136;51;Sí;Urbana;M;Madre soltera;Beca;PUEBLO INDIGENA;Sí;Sí;1
MERCADEO;Aurelia Urrutia Vargas;125980541;53;Sí;Rural;F;Soltero;Recursos Propios;COMUNIDAD NEGRA;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Félix Conesa Flor;650867160;37;Sí;Rural;F;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Efraín Cánovas Gonzalez;989308867;27;Sí;Rural;F;Religioso;Beca;REGULAR PREGRADO;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Santiago Escobar Nicolás;550290421;46;No;Urbana;M;Divorciado;Crédito;PUEBLO INDIGENA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Germán Galvez Palomino;85943255;54;No;Urbana;M;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
MERCADEO;Carmelita Lilia Sainz Palomar;775488863;29;No;Rural;M;Divorciado;Crédito;REGULAR PREGRADO;Sí;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Eduardo Comas-Linares;489074426;48;Sí;Urbana;M;Madre soltera;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rodrigo Trillo-Díez;475041081;30;Sí;Urbana;F;Casado;Recursos Propios;REGULAR PREGRADO;No;No;1
MERCADEO;Saturnina de Tamayo;773236840;17;No;Rural;M;Madre soltera;Familia;DESPLAZADO;Sí;No;5
MERCADEO;Luz del Somoza;378493320;40;Sí;Rural;F;Divorciado;Beca;DESPLAZADO;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Roberta Lasa Cantón;86726395;33;Sí;Rural;F;Religioso;Beca;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Mayte Calvet Parejo;647344247;33;No;Urbana;M;Unión Libre;Recursos Propios;DESPLAZADO;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Graciela Marcos;341239789;19;Sí;Rural;F;Unión Libre;Beca;COMUNIDAD NEGRA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Maristela Prado Falcó;89059962;39;Sí;Urbana;F;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Eloísa Sanz Amo;642680712;24;No;Urbana;F;Divorciado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Gastón Amo-Zapata;711351614;23;No;Rural;M;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Verónica Agustín Benavides;132910535;24;No;Rural;M;Unión Libre;Crédito;REGULAR PREGRADO;Sí;Sí;1
MERCADEO;Melisa Dávila Atienza;971913282;51;No;Urbana;F;Soltero;Recursos Propios;DESPLAZADO;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Gema Chacón Lorenzo;31205661;19;Sí;Rural;M;Divorciado;Crédito;COMUNIDAD NEGRA;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Amador Aranda Echevarría;993990617;21;Sí;Urbana;F;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Olalla Llabrés Llano;542949432;44;Sí;Rural;M;Unión Libre;Crédito;DESPLAZADO;No;Sí;4
MERCADEO;Danilo Gomis Llabrés;809953936;51;No;Rural;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Azucena Fajardo-Mosquera;415448987;32;No;Rural;F;Religioso;Familia;REGULAR PREGRADO;Sí;No;4
MERCADEO;Joel Goicoechea Estrada;693041159;47;No;Urbana;M;Divorciado;Beca;PUEBLO INDIGENA;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Olimpia Espada;222837412;29;Sí;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Vinicio Izquierdo Pacheco;744257029;21;Sí;Urbana;F;Soltero;Familia;PUEBLO INDIGENA;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Baldomero García;148558374;49;Sí;Rural;F;Divorciado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Fidela Muñoz Gomila;988076817;47;No;Urbana;M;Madre soltera;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Juan Manuel Conde;984906800;51;Sí;Urbana;M;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Mayte Farré Vicente;3174551;17;No;Rural;M;Casado;Recursos Propios;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Candelaria Serra Martin;922802525;23;Sí;Urbana;M;Casado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Sebastian Quiroga Nebot;661014459;36;No;Rural;F;Madre soltera;Familia;PUEBLO INDIGENA;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;Maxi Fabra Gomez;433262300;49;No;Rural;F;Religioso;Crédito;COMUNIDAD NEGRA;Sí;No;3
MERCADEO;Ruben Beltrán Ortuño;146438680;29;No;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;Sí;No;5
MERCADEO;Bruno Calatayud Salamanca;589173588;41;Sí;Rural;M;Religioso;Familia;REGULAR PREGRADO;No;No;2
MERCADEO;Cintia Alcázar Riquelme;185188416;49;No;Rural;F;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Sabina Arrieta Carrión;123541568;23;Sí;Rural;M;Unión Libre;Beca;PUEBLO INDIGENA;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Ariel Huguet Milla;344852585;39;Sí;Urbana;M;Madre soltera;Crédito;REGULAR PREGRADO;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Nicolasa Doménech Barriga;769192542;22;No;Rural;F;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Salomón Vilaplana-Aguilera;879538343;20;Sí;Rural;M;Unión Libre;Familia;COMUNIDAD NEGRA;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Che Castells;685622876;22;Sí;Rural;F;Casado;Beca;REGULAR PREGRADO;Sí;No;3
MERCADEO;Cosme Iriarte-Sevilla;150584293;21;Sí;Rural;M;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Mateo del Roma;234026991;16;No;Urbana;M;Casado;Beca;DESPLAZADO;No;No;2
MERCADEO;Gisela Alberola Valcárcel;685313913;33;No;Rural;F;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Gustavo Sedano Borrego;921795887;43;No;Rural;F;Casado;Crédito;REGULAR PREGRADO;No;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Nico de Bravo;559906416;49;No;Rural;M;Unión Libre;Familia;DESPLAZADO;No;No;1
ADMINISTRACIÓN FINANCIERA;Amancio Urrutia Pi;435491973;22;No;Rural;F;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Cirino Garmendia Figueras;937302582;39;Sí;Urbana;M;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
ADMINISTRACIÓN FINANCIERA;Borja Eutimio Méndez Blanch;970048428;53;Sí;Rural;F;Soltero;Beca;PUEBLO INDIGENA;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Juan Bautista Pedro Cámara;651169345;24;No;Urbana;F;Divorciado;Crédito;COMUNIDAD NEGRA;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Maximiliano Collado Lago;885120115;39;Sí;Rural;F;Unión Libre;Crédito;PUEBLO INDIGENA;No;No;3
