PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
LICENCIATURA EN EDUCACIÓN INFANTIL;Rita Vendrell;13727957;54;Sí;Urbana;F;Religioso;Familia;REGULAR PREGRADO;Sí;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Liliana Echevarría Conesa;690598769;23;No;Rural;M;Madre soltera;Recursos Propios;REGULAR PREGRADO;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Victoria Tejada;777885113;45;Sí;Urbana;F;Casado;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Vito Soler Valentín;679010769;47;No;Rural;F;Casado;Beca;REGULAR PREGRADO;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Lidia de Torres;560673688;35;No;Rural;F;Unión Libre;Familia;COMUNIDAD NEGRA;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Dafne Soraya Gallart Seguí;931745838;34;Sí;Rural;M;Divorciado;Crédito;REGULAR PREGRADO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Ana Belén del Ortiz;415507125;49;No;Rural;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Sol Almeida Diaz;819417565;48;No;Urbana;F;Religioso;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Maribel Escolano Pozuelo;483996601;41;Sí;Rural;M;Casado;Crédito;PUEBLO INDIGENA;Sí;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Urbano Alcaraz Cabello;603668732;17;Sí;Rural;F;Madre soltera;Familia;COMUNIDAD NEGRA;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Lina Arregui Galan;287238992;19;Sí;Urbana;F;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;No;1
MERCADEO;Adelia Peña-Cuéllar;948224438;19;Sí;Urbana;M;Religioso;Crédito;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Ramón Pujadas Vilaplana;719553477;22;No;Rural;F;Casado;Crédito;PUEBLO INDIGENA;No;Sí;3
MERCADEO;Vanesa Aguilera Cabañas;979784603;52;Sí;Rural;M;Divorciado;Familia;DESPLAZADO;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;Narciso Sola Hernández;303540683;31;No;Urbana;M;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Perla Cuervo Corral;536912490;24;Sí;Rural;F;Divorciado;Familia;REGULAR PREGRADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Lisandro Abella Robledo;673475297;20;Sí;Rural;M;Religioso;Beca;PUEBLO INDIGENA;No;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Geraldo Tirado Vallejo;341416973;37;Sí;Urbana;F;Unión Libre;Beca;DESPLAZADO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Margarita Rosell;255247038;49;Sí;Rural;F;Soltero;Crédito;DESPLAZADO;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Javiera Cerdá Oller;119772483;52;Sí;Urbana;F;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jacobo Ripoll Martin;182615601;38;No;Rural;M;Casado;Familia;REGULAR PREGRADO;Sí;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Albert Español Sainz;326990331;48;Sí;Rural;F;Casado;Crédito;PUEBLO INDIGENA;Sí;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Luisa de Tello;92974983;37;No;Rural;F;Soltero;Crédito;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Reina Casanovas Santana;319629967;42;No;Rural;M;Madre soltera;Crédito;COMUNIDAD NEGRA;Sí;Sí;4
MERCADEO;Liliana Francisco Salgado;317171995;37;No;Rural;F;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Toni Peral-Franch;439971837;20;Sí;Urbana;F;Divorciado;Crédito;REGULAR PREGRADO;Sí;Sí;1
MERCADEO;Alonso Blanes Casado;818147665;24;Sí;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Amanda Bou Robledo;67518048;32;Sí;Urbana;F;Soltero;Beca;REGULAR PREGRADO;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Fabiola del Corral;730999516;50;No;Urbana;M;Soltero;Recursos Propios;COMUNIDAD NEGRA;No;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;María Cristina Ferrero-Villalobos;611098297;32;No;Urbana;F;Madre soltera;Recursos Propios;REGULAR PREGRADO;No;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Reyes Benigna Cueto Villar;315549812;27;No;Rural;F;Unión Libre;Crédito;DESPLAZADO;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Viviana Abascal Palomares;701691358;24;No;Urbana;F;Religioso;Familia;REGULAR PREGRADO;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Toño Inocencio Baños Julián;780588513;16;Sí;Urbana;M;Casado;Familia;COMUNIDAD NEGRA;No;Sí;4
MERCADEO;Sol Judith Suárez Bernad;265685362;50;Sí;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;No;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Montserrat Losa-Escalona;537040743;51;No;Urbana;F;Religioso;Familia;PUEBLO INDIGENA;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Samanta Mancebo Cuesta;48720778;38;Sí;Urbana;M;Soltero;Recursos Propios;PUEBLO INDIGENA;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Margarita Roldan Sevilla;720897880;46;No;Urbana;M;Unión Libre;Recursos Propios;DESPLAZADO;No;No;4
ADMINISTRACIÓN FINANCIERA;Nereida Guillen;832566131;36;Sí;Urbana;M;Divorciado;Familia;PUEBLO INDIGENA;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;Nazaret Zabaleta-Sarabia;311735363;41;Sí;Rural;M;Soltero;Beca;PUEBLO INDIGENA;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;Agustín de Bustos;609766047;46;No;Urbana;M;Religioso;Familia;DESPLAZADO;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Ámbar del Adadia;600086863;20;No;Urbana;F;Divorciado;Recursos Propios;DESPLAZADO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Juan Francisco de Alarcón;315755011;41;Sí;Urbana;F;Religioso;Beca;DESPLAZADO;No;No;5
ADMINISTRACIÓN FINANCIERA;Matías Bermejo;339909404;16;No;Rural;M;Casado;Beca;REGULAR PREGRADO;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Edelmira Áurea Pombo Vicens;354281820;50;Sí;Rural;M;Divorciado;Crédito;DESPLAZADO;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Joaquina Garcés Gallardo;575340159;39;No;Urbana;M;Casado;Recursos Propios;PUEBLO INDIGENA;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Matías Chacón Baena;17361632;34;Sí;Rural;M;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Adela Ferrández Escamilla;692498559;37;Sí;Rural;F;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Leonor Luna Rueda Mascaró;322033317;47;No;Urbana;M;Soltero;Familia;REGULAR PREGRADO;No;No;4
ADMINISTRACIÓN FINANCIERA;Eutropio Fonseca Escalona;306898546;46;Sí;Rural;F;Casado;Crédito;COMUNIDAD NEGRA;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Noelia Saturnina Romeu Palma;226865372;54;Sí;Rural;M;Madre soltera;Beca;PUEBLO INDIGENA;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Coral Gracia Borrell;135230763;34;No;Rural;M;Religioso;Familia;DESPLAZADO;No;No;3
MERCADEO;Odalis de Coll;872567620;16;No;Urbana;M;Unión Libre;Crédito;DESPLAZADO;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Manola Julián Torrent;528097269;19;No;Rural;M;Unión Libre;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Regina Páez Piñeiro;614564733;18;Sí;Rural;F;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Joaquina Miriam Benitez Rey;444560310;30;No;Urbana;M;Casado;Crédito;REGULAR PREGRADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Luna Cuadrado Salazar;245504287;22;Sí;Urbana;M;Unión Libre;Recursos Propios;REGULAR PREGRADO;No;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Rafael Aguilar Miralles;270612803;34;Sí;Urbana;F;Unión Libre;Familia;DESPLAZADO;No;No;3
MERCADEO;Máxima Silva Aragón;878101561;36;Sí;Rural;M;Casado;Crédito;DESPLAZADO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Fabiola Carmona Expósito;909619356;42;No;Rural;F;Unión Libre;Recursos Propios;REGULAR PREGRADO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jeremías Araujo;33005531;37;Sí;Rural;F;Religioso;Beca;COMUNIDAD NEGRA;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Efraín del Alemany;933442645;17;Sí;Rural;F;Religioso;Beca;COMUNIDAD NEGRA;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Manuela Castejón-Plana;142307494;30;Sí;Rural;F;Casado;Crédito;PUEBLO INDIGENA;No;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Samu Osorio Chaves;248363966;53;Sí;Rural;F;Madre soltera;Crédito;REGULAR PREGRADO;No;No;1
MERCADEO;Maricruz Felipa Clemente Ferrández;382834228;25;No;Urbana;F;Casado;Beca;REGULAR PREGRADO;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jose Carlos Sanabria Lluch;93580839;19;Sí;Rural;F;Madre soltera;Crédito;PUEBLO INDIGENA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Eusebia Izaguirre Macías;982993570;40;No;Rural;M;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Fanny Sarmiento;840079840;30;No;Urbana;M;Soltero;Familia;REGULAR PREGRADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;David Gómez Ripoll;264721259;35;Sí;Rural;F;Madre soltera;Recursos Propios;REGULAR PREGRADO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Balduino Peiró Pinto;663196615;24;Sí;Urbana;M;Unión Libre;Familia;PUEBLO INDIGENA;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Aurelia Urrutia Vargas;110876462;25;No;Rural;M;Madre soltera;Beca;REGULAR PREGRADO;No;Sí;2
MERCADEO;Félix Conesa Flor;249250473;50;Sí;Urbana;M;Divorciado;Crédito;REGULAR PREGRADO;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Efraín Cánovas Gonzalez;601274355;34;Sí;Urbana;M;Divorciado;Beca;PUEBLO INDIGENA;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Santiago Escobar Nicolás;115138937;16;No;Rural;M;Madre soltera;Familia;COMUNIDAD NEGRA;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Germán Galvez Palomino;583089922;40;No;Urbana;M;Religioso;Beca;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Carmelita Lilia Sainz Palomar;643267609;24;No;Rural;M;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;3
MERCADEO;Eduardo Comas-Linares;779397439;31;Sí;Urbana;M;Divorciado;Recursos Propios;DESPLAZADO;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rodrigo Trillo-Díez;688328081;28;No;Rural;F;Religioso;Familia;PUEBLO INDIGENA;Sí;Sí;5
MERCADEO;Saturnina de Tamayo;174274314;33;No;Rural;F;Soltero;Crédito;DESPLAZADO;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Luz del Somoza;830066434;38;No;Urbana;F;Unión Libre;Beca;PUEBLO INDIGENA;Sí;No;2
MERCADEO;Roberta Lasa Cantón;14428769;37;Sí;Rural;M;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Mayte Calvet Parejo;131384340;29;No;Urbana;M;Soltero;Crédito;REGULAR PREGRADO;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Graciela Marcos;461449654;43;Sí;Urbana;M;Religioso;Recursos Propios;PUEBLO INDIGENA;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Maristela Prado Falcó;200904082;35;No;Rural;F;Unión Libre;Crédito;REGULAR PREGRADO;Sí;Sí;2
MERCADEO;Eloísa Sanz Amo;791006996;38;No;Rural;M;Madre soltera;Familia;REGULAR PREGRADO;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Gastón Amo-Zapata;289029222;36;Sí;Urbana;F;Unión Libre;Crédito;REGULAR PREGRADO;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Verónica Agustín Benavides;763855292;41;Sí;Rural;M;Soltero;Beca;REGULAR PREGRADO;No;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Melisa Dávila Atienza;768877890;49;No;Urbana;F;Madre soltera;Crédito;PUEBLO INDIGENA;No;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Gema Chacón Lorenzo;329295598;43;Sí;Rural;F;Religioso;Familia;REGULAR PREGRADO;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Amador Aranda Echevarría;813756583;52;Sí;Urbana;M;Religioso;Crédito;PUEBLO INDIGENA;Sí;Sí;2
MERCADEO;Olalla Llabrés Llano;177820526;36;No;Rural;F;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;Sí;No;3
MERCADEO;Danilo Gomis Llabrés;255715627;50;Sí;Rural;M;Unión Libre;Familia;DESPLAZADO;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Azucena Fajardo-Mosquera;71218441;51;No;Urbana;F;Unión Libre;Crédito;COMUNIDAD NEGRA;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Joel Goicoechea Estrada;725023691;25;No;Rural;F;Divorciado;Recursos Propios;DESPLAZADO;Sí;Sí;2
MERCADEO;Olimpia Espada;302636974;52;No;Urbana;M;Madre soltera;Recursos Propios;DESPLAZADO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Vinicio Izquierdo Pacheco;189734406;50;No;Rural;F;Divorciado;Crédito;REGULAR PREGRADO;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Baldomero García;153574465;21;Sí;Rural;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
MERCADEO;Fidela Muñoz Gomila;183558049;24;No;Rural;M;Divorciado;Familia;DESPLAZADO;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Juan Manuel Conde;712334073;31;Sí;Rural;M;Unión Libre;Recursos Propios;PUEBLO INDIGENA;No;No;1
ADMINISTRACIÓN FINANCIERA;Mayte Farré Vicente;98255680;31;Sí;Rural;M;Soltero;Beca;REGULAR PREGRADO;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Candelaria Serra Martin;79183613;22;No;Rural;F;Soltero;Recursos Propios;COMUNIDAD NEGRA;Sí;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Sebastian Quiroga Nebot;90960668;23;Sí;Urbana;F;Casado;Familia;COMUNIDAD NEGRA;No;No;5
ADMINISTRACIÓN FINANCIERA;Maxi Fabra Gomez;314945770;33;Sí;Urbana;F;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
ADMINISTRACIÓN FINANCIERA;Ruben Beltrán Ortuño;175473693;44;Sí;Rural;M;Divorciado;Familia;DESPLAZADO;Sí;Sí;3
MERCADEO;Bruno Calatayud Salamanca;171405053;24;No;Rural;M;Unión Libre;Familia;DESPLAZADO;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Cintia Alcázar Riquelme;625088658;25;Sí;Rural;M;Unión Libre;Recursos Propios;PUEBLO INDIGENA;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Sabina Arrieta Carrión;276103072;52;Sí;Rural;F;Madre soltera;Crédito;DESPLAZADO;No;Sí;2
MERCADEO;Ariel Huguet Milla;156189494;35;Sí;Rural;M;Soltero;Beca;DESPLAZADO;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Nicolasa Doménech Barriga;19022860;45;No;Urbana;M;Unión Libre;Crédito;PUEBLO INDIGENA;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Salomón Vilaplana-Aguilera;141609117;26;No;Rural;M;Soltero;Recursos Propios;PUEBLO INDIGENA;No;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Che Castells;636186552;17;Sí;Rural;M;Religioso;Crédito;PUEBLO INDIGENA;Sí;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Cosme Iriarte-Sevilla;903669632;44;No;Rural;M;Unión Libre;Familia;DESPLAZADO;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Mateo del Roma;318224100;35;No;Urbana;F;Madre soltera;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Gisela Alberola Valcárcel;4100166;50;Sí;Urbana;F;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;Sí;5
MERCADEO;Gustavo Sedano Borrego;571944376;27;Sí;Urbana;F;Divorciado;Crédito;PUEBLO INDIGENA;No;No;3
ADMINISTRACIÓN FINANCIERA;Nico de Bravo;931183891;27;No;Urbana;M;Soltero;Beca;REGULAR PREGRADO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Amancio Urrutia Pi;471772794;29;No;Urbana;M;Soltero;Recursos Propios;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Cirino Garmendia Figueras;428739027;54;Sí;Rural;M;Unión Libre;Familia;DESPLAZADO;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Borja Eutimio Méndez Blanch;390456581;53;Sí;Urbana;M;Religioso;Crédito;REGULAR PREGRADO;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Juan Bautista Pedro Cámara;297236792;52;No;Urbana;F;Divorciado;Familia;DESPLAZADO;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Maximiliano Collado Lago;480149975;25;No;Urbana;F;Unión Libre;Familia;REGULAR PREGRADO;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Alex Ortiz Heredia;858231914;25;Sí;Urbana;M;Madre soltera;Beca;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Víctor Fuertes Espejo;40629809;54;No;Rural;F;Religioso;Beca;REGULAR PREGRADO;No;Sí;2
