index;Periodo;Tipo_de_población_a_la_que_pertenece;Año_de_graduación_como_bachiller;Desde_que_ingresó_a_su_carrera_universitaria_¿Cuánto_tiempo_estuvo_sin_realizar_estudios(años)?;¿Tipo_de_institución_donde_terminó_el_bachillerato?;Selecciona_la_modalidad_del_bachillerato_que_estudió;Estudios_que_ha_adelantado;Actualmente_trabaja;Seguridad_social:;¿Cómo_financia_sus_estudios?;¿Es_padre_o_madre_cabeza_de_familia?;Número_de_hijos:;¿Con_quién_vive?;Grado_de_escolaridad_de_la_madre;Grado_de_escolaridad_de_la_padre;Tipo_de_transporte_que_utiliza_para_desplazarse_hasta_la_universidad:;Seleccione_un_rango_de_costo_en_pasajes_hasta_la_universidad:;¿Cuál_es_la_razón_que_lo_motivó_a_escoger_el_programa_en_la_modalidad_a_distancia?;Programa_académico_al_cual_pertenece:;Ubicación_semestral;Señale_cuál(es)_dificultad(es)_académica(s)_ha_presentado_en_el_transcurso_de;¿Posee_algún_tipo_de_discapacidad?;Practica_algún_deporte;¿Cuál(es)_es(son)_su(s)_pasatiempo(s)_favorito(s)?;¿Hace_parte_de_algún_grupo_artístico,_cultural,_deportivo_o_juvenil?;¿Le_gusta_trabajar_en_equipo?;¿De_qué_tiempo_dispone_para_trabajar_individualmente?;De_qué_tiempo_dispone_para_trabajar_en_equipo?;Posee_dificultades_para_relacionarse_con_otras_personas_(compañeros,_docentes)_(única_respuesta);En_cuanto_a_sus_profesores,_se_siente:_(única_respuesta);En_cuanto_a_la_elección_de_su_carrera_se_siente:;¿Cuál_es_su_proyecto_de_vida?;¿Está_habituado(a)_a_tomar_notas_y_apuntes_en_su_proceso_de_estudio?;Seleccione_el_nivel_de_conocimiento_en_informática;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;Seleccione_los_dispositivos_electrónicos_con_los_que_cuenta_actualmente;¿Cuáles_son_las_principales_actividades_que_realiza_en_internet?_;PERIODOINGRESO;SITE_DESCRIPCION;ESTADO_CIVIL;ESTRATO;SEXO;LIBRETA_MILITAR;CLASE_LIBRETA;NACIONALIDAD;DEPARTAMENTOID_INSTITUCION;MUNICIPIOID_INSTITUCION;INSTITUCIONEDUCATIVA;NOMBRE_INSTITUCIONEDUCATIVA;PAIS_NACIMIENTO;DEPARTAMENTO_NACIMIENTO;CIUDAD_NACIMIENTO;PAIS_PROCEDENCIA;DEPARTAMENTO_PROCEDENCIA;MUNICIPIO_PROCEDENCIA;ZONARESIDENCIAL;CIRCUNSCRIPCION;ORIENTACION_SEXUAL;IDENTIDAD_DE_GENERO;CAPACIDADEXCEPCIONAL;DISCAPACIDAD;DISCAPACIDAD_DESCRI;DISCAPACIDAD_ID_PADRE;EDAD_DE_INGRESO;PROGRAMA;nombre;cedula;MATERIA;NOTA;CREDITOS;CREDITOS_PROGRAMA;APROBADO;TIPO;PERIODO2;PROMEDIO;MATRICULAS;SEMILLERO;SOLI_ID;SOLI_ESTADO;SUBSIDIO_ALIMENTARIO;NOMBRE_EPS;INGRESOS_ULTIMO_ANO;CIRCUNSCRIPCION2;PUNTAJE_SISBEN;ES_EGRESADO;FECHAGRADUACION;ES_REINGRESO;IDENTIFICADOR;CantidadMateriasPerdidas;CantidadDeSemestres;PorcentajeDeCreditos
35;1/02/2016;Urbana;2001;2;Pública;Presencial;Ninguno;Sí;Contributivo;Recursos Propios;Si;1-feb;Sólo;Secundaria;Secundaria;Moto;$ 15.000 - $ 25.000;Es el campo de formación de mi interés;Tecnología en Informática y Sistemas;I;ninguna;Ninguna;Fútbol;Leer;No;Casi siempre;1-2 horas diarias;1-2 horas diarias;No;Muy satisfecho;Muy satisfecho;Ser profesional;A menudo tomo notas;Medio;Sí;Sí;"Computador de escritorio
Celular inteligente";"Correo electrónico
Descargar programas y juegos
Cursos virtuales";1/02/2016;EXCLUIDO NO RENOVACION DE MATRICULA;Soltero;1;M;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;310;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Emmery Ganderton;753982586;IDIOMA EXTRANJERO I;2,5;2;970;NO;NORMAL;1/01/2017;3,04;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;124;40;2;2,06186E+16
5;1/02/2016;Urbana;2000;16;Pública;Presencial;Ninguno;Sí;Contributivo;Recursos Propios;Si;1-feb;Esposo(a) e hijos;Primaria;Primaria;Moto;$ 25.000 - $ 50.000;Buen futuro laboral;Administración Financiera;I;ninguna;Ninguna;Fútbol;"Leer
Escuchar música";No;Casi siempre;3-4 horas diarias;3-4 horas diarias;No;Muy satisfecho;Muy satisfecho;Ser profesional;Siempre tomo notas;Medio;Sí;Sí;Portátil;"Correo electrónico
Redes sociales
Descargar programas y juegos";1/02/2016;EXCLUIDO NO RENOVACION DE MATRICULA;Unión Libre;1;M;NO;;Colombia;;;;;Colombia;Caquetá;EL DONCELLO;;;;;REGULAR PREGRADO;;;;;;;330;ADMINISTRACIÓN FINANCIERA;Dedie Monteaux;341683627;INGLÉS BÁSICO II;0,2;1;1490;NO;NORMAL;1/02/2017;1,7;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;138;80;3;1,74497E+16
128;1/02/2018;Urbana;1999;10;Pública;Presencial;Ninguno;Sí;Subsidiado;Familia;No;1-feb;Esposo(a) e hijos;Primaria;Primaria;Moto;Inferior a $ 4.000;Es el campo de formación de mi interés;Administración Financiera;I;concentración;Ninguna;Ninguno;Otro;No;Algunas veces;1-2 horas diarias;1-2 horas diarias;No;No sabe / No responde;No sabe / No responde;Ser profesional;A menudo tomo notas;Básico;Sí;Sí;Portátil;Redes sociales;1/02/2018;EXCLUIDO NO RENOVACION DE MATRICULA;Soltero;1;F;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;DESPLAZADO;;;;;;;360;ADMINISTRACIÓN FINANCIERA;Timi Conichie;384553783;MODULO INTRODUCTORIO;0,31;14;1490;NO;NORMAL;1/02/2018;0,31;falta;;;;NO;falta no se guarda;$2.000.000,oo;DESPLAZADO;;NO;;NO;181;10;1;0
169;1/02/2021;Urbana;2000;9;Pública;Presencial;Técnico;Sí;Contributivo;Familia;Si;1-feb;con mis dos hijos;Primaria;Primaria;A pie;$ 4.000 - $ 10.000;Es el campo de formación de mi interés;Administración Financiera;I;memoria;Ninguna;Ninguno;Leer;No;Casi siempre;1-2 horas diarias;1-2 horas diarias;No;Satisfecho;Satisfecho;Ser profesional;Siempre tomo notas;Básico;No;No;Celular inteligente;"Correo electrónico;Redes sociales;Cursos virtuales";1/02/2021;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;1;F;NO;;CO;Caquetá;CARTAGENA DEL CHAIRA;643110;CENTRO DE ENSEÑANZA MEDIA COMERCIAL EL CHAIRA;Colombia;Caquetá;FLORENCIA;Colombia;Caquetá;FLORENCIA;URBANA;VICTIMA DEL CONFLICTO ARMADO INTERNO;;;NO APLICA;0;NO APLICA;;390;ADMINISTRACIÓN FINANCIERA;Raddie Cosham;434668939;EDUCACIÓN A DISTANCIA Y HERRAMIENTAS VIRTUALES;3,7;3;1690;SI;NORMAL;1/02/2021;3,92;falta;;;;NO;falta no se guarda;,oo;VICTIMA DEL CONFLICTO ARMADO INTERNO;;NO;;NO;186;70;2;9,46746E+15
12;1/02/2016;Urbana;1986;8;Pública;Presencial;Tecnología;Sí;Contributivo;Recursos Propios;Si;1-feb;Sólo;Primaria;Primaria;Taxi;$ 25.000 - $ 50.000;Consejo de otras personas;Administración Financiera;I;memoria;Ninguna;Ninguno;"Leer
Cocinar
Escuchar música";No;Casi siempre;1-2 horas diarias;Solo fines de semana;No;Satisfecho;Muy satisfecho;Ser profesional;A menudo tomo notas;Básico;Sí;No;"Portátil
Celular inteligente";"Correo electrónico
Redes sociales";1/02/2016;EXCLUIDO NO RENOVACION DE MATRICULA;Soltero;2;F;NO;;CO;Bolívar;MAGANGUE;333080;LICEO JOAQUIN F. VELEZ;Colombia;Bolívar;MAGANGUE;Colombia;Bolívar;MAGANGUE;URBANA;REGULAR PREGRADO;HETEROSEXUAL;FEMENINO;NO APLICA;0;NO APLICA;;500;ADMINISTRACIÓN FINANCIERA;Marrissa Voller;316753670;ESTADÍSTICA DESCRIPTIVA.;3,5;2;1490;SI;NORMAL;1/01/2018;3,71;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;202;130;11;8,25503E+14
30;1/02/2016;Rural;1999;2;Privada;A Distancia;Técnico;Sí;Contributivo;Recursos Propios;Si;1-feb;Esposo(a) e hijos;Técnico;Secundaria;Carro;$ 4.000 - $ 10.000;Buen futuro laboral;Administración Financiera;I;memoria;Ninguna;Ciclismo;Cocinar;Sí;Algunas veces;1-2 horas diarias;1-2 horas diarias;No;Algo satisfecho;Satisfecho;Tener familia;Siempre tomo notas;Medio;Sí;No;Computador de escritorio;Otros;1/02/2016;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;2;F;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;340;ADMINISTRACIÓN FINANCIERA;Ingar Barmby;225317012;MODULO INTRODUCTORIO;0,72;14;1490;NO;NORMAL;1/02/2016;0,72;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;212;10;1;0
14;1/02/2016;Urbana;2014;1;Privada;Informal (Sabatino);Ninguno;Sí;Subsidiado;Recursos Propios;Si;3-abr;Esposo(a) e hijos;Secundaria;Primaria;Moto;Inferior a $ 4.000;Es el campo de formación de mi interés;Tecnología en Criminalística;I;comprensión de lectura;;Otro;Cocinar;No;Algunas veces;3-4 horas diarias;1-2 horas diarias;No sabe / No responde;No sabe / No responde;Satisfecho;Ser profesional;Pocas veces tomo notas;Ninguno;Sí;Sí;Computador de escritorio;Redes sociales;1/02/2016;EXCLUIDO NO RENOVACION DE MATRICULA;Madre soltera;1;F;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;380;TECNOLOGÍA EN CRIMINALISTICA;Elsey Cretney;885313892;TOPOGRAFÍA FORENSE;4;2;970;SI;NORMAL;1/01/2017;3,69;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;223;60;3;3,71134E+15
113;1/02/2018;Urbana;2000;9;Pública;Presencial;Pregrado;No;Contributivo;Recursos Propios;Si;1-feb;Sólo;Primaria;Primaria;A pie;$ 4.000 - $ 10.000;Sentir vocación desde la infancia;Licenciatura en Pedagogía Infantil;I;comprensión de lectura;Ninguna;Ninguno;Escuchar música;No;Casi siempre;3-4 horas diarias;3-4 horas diarias;No;No sabe / No responde;Satisfecho;Otro;Siempre tomo notas;Básico;Sí;Sí;"Computador de escritorio
Celular inteligente";Otros;1/02/2018;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;2;F;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;390;LICENCIATURA EN PEDAGOGÍA INFANTIL;Martyn Dykes;308982992;MODULO INTRODUCTORIO;2,9;15;1330;NO;NORMAL;1/02/2018;2,9;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;231;10;1;0
227;1/02/2021;Rural;2001;15;Privada;Informal (Sabatino);Ninguno;No;Contributivo;Recursos Propios;Si;1-feb;Madre y/o Padre;Secundaria;Secundaria;Taxi;$ 15.000 - $ 25.000;Buen futuro laboral;Mercadeo;I;problemas de salud;Ninguna;Caminatas;pasear - Caminatas;No;Siempre;1-2 horas diarias;1-2 horas diarias;No;Muy satisfecho;Muy satisfecho;Ser profesional;Siempre tomo notas;Básico;Sí;Sí;"Computador de escritorio;Celular inteligente";"Correo electrónico;Redes sociales;Música y vídeos;Descargar programas y juegos;Cursos virtuales";1/02/2021;EXCLUIDO NO RENOVACION DE MATRICULA;Unión Libre;1;F;NO;;CO;Caquetá;FLORENCIA;847720;INSTITUTO SAN FERNANDO FERRINI;Colombia;Caquetá;SAN JOSE DEL FRAGUA;Colombia;Caquetá;SAN JOSE DEL FRAGUA;RURAL;REGULAR PREGRADO;HETEROSEXUAL;FEMENINO;NO APLICA;0;NO APLICA;;370;MERCADEO;Delinda Gilbart;387606045;FUNDAMENTOS DE MATEMÁTICAS;0,6;2;1480;NO;NORMAL;1/02/2021;0,21;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;303;60;1;0
228;1/02/2021;Rural;2001;15;Privada;Informal (Sabatino);Ninguno;No;Contributivo;Recursos Propios;Si;1-feb;Madre y/o Padre;Secundaria;Secundaria;Taxi;$ 15.000 - $ 25.000;Buen futuro laboral;Mercadeo;I;problemas de salud;Ninguna;Caminatas;pasear - Caminatas;No;Siempre;1-2 horas diarias;1-2 horas diarias;No;Muy satisfecho;Muy satisfecho;Ser profesional;Siempre tomo notas;Básico;Sí;Sí;"Computador de escritorio;Celular inteligente";"Correo electrónico;Redes sociales;Música y vídeos;Descargar programas y juegos;Cursos virtuales";1/02/2011;EXCLUIDO NO RENOVACION DE MATRICULA;Unión Libre;1;F;NO;;CO;Caquetá;FLORENCIA;847720;INSTITUTO SAN FERNANDO FERRINI;Colombia;Caquetá;SAN JOSE DEL FRAGUA;Colombia;Caquetá;SAN JOSE DEL FRAGUA;RURAL;REGULAR PREGRADO;HETEROSEXUAL;FEMENINO;NO APLICA;0;NO APLICA;;270;LICENCIATURA EN PEDAGOGÍA INFANTIL;Ruthie Bumpus;869989446;MODULO INTRODUCTORIO;0,1;13;1280;NO;NORMAL;1/02/2011;0,1;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;303;10;1;0
