PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosa María Castro Gelabert;184519950;47;No;Rural;M;Madre soltera;Familia;COMUNIDAD NEGRA;No;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Tamara Ángela Macías Vilanova;133138141;22;Sí;Urbana;M;Unión Libre;Crédito;DESPLAZADO;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Pablo Barroso Mesa;348635009;26;Sí;Rural;M;Unión Libre;Crédito;DESPLAZADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Alfredo Torres Uribe;199896821;45;No;Rural;M;Divorciado;Recursos Propios;COMUNIDAD NEGRA;No;Sí;4
ADMINISTRACIÓN FINANCIERA;José Mari Noriega;245812024;27;Sí;Rural;M;Divorciado;Crédito;REGULAR PREGRADO;Sí;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Javiera Valls Benavides;574303008;54;Sí;Rural;F;Soltero;Recursos Propios;DESPLAZADO;No;Sí;2
MERCADEO;María Jesús de Anglada;663095991;37;No;Rural;F;Religioso;Crédito;COMUNIDAD NEGRA;Sí;No;5
MERCADEO;Tomasa Lillo Ortiz;260363568;42;Sí;Urbana;F;Unión Libre;Familia;REGULAR PREGRADO;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lupe Carro Tenorio;305961364;19;No;Urbana;M;Divorciado;Crédito;PUEBLO INDIGENA;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Oriana Peiró Calatayud;190170553;54;No;Rural;M;Soltero;Beca;REGULAR PREGRADO;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Plinio Cobos Velasco;106034069;47;No;Urbana;F;Madre soltera;Familia;REGULAR PREGRADO;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Bibiana Ana Belén Anguita Carbó;14796541;23;No;Urbana;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Cristian Belmonte Higueras;924232273;35;Sí;Rural;F;Unión Libre;Beca;REGULAR PREGRADO;No;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Felicidad Royo Carballo;39250820;51;Sí;Urbana;F;Unión Libre;Beca;DESPLAZADO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Narcisa Amores-Navarrete;136538534;35;No;Rural;M;Madre soltera;Crédito;DESPLAZADO;Sí;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Vinicio Cobo Amorós;869081806;17;No;Rural;M;Madre soltera;Recursos Propios;DESPLAZADO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Lourdes Pilar Collado Losa;945185628;41;No;Urbana;F;Unión Libre;Crédito;REGULAR PREGRADO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Belén Nazaret Cazorla Martín;557223079;50;Sí;Rural;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Edelmiro Alegria Palomino;79665407;30;No;Rural;M;Madre soltera;Beca;COMUNIDAD NEGRA;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Samanta Maldonado Arroyo;837332814;26;No;Urbana;M;Soltero;Recursos Propios;DESPLAZADO;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Paloma Solís;738015955;20;Sí;Rural;M;Madre soltera;Familia;PUEBLO INDIGENA;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Ámbar Puga Castro;345735466;23;No;Urbana;F;Madre soltera;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Cirino Huertas Bernat;769264577;47;No;Rural;F;Divorciado;Familia;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Juan Francisco Molina Tenorio;954541570;30;No;Urbana;M;Religioso;Recursos Propios;COMUNIDAD NEGRA;Sí;No;2
MERCADEO;Rosalinda Clemente Aroca;947759153;53;No;Urbana;F;Religioso;Recursos Propios;COMUNIDAD NEGRA;No;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Rita Vendrell;215670944;50;Sí;Urbana;F;Unión Libre;Recursos Propios;DESPLAZADO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Liliana Echevarría Conesa;968356628;45;Sí;Rural;M;Religioso;Recursos Propios;DESPLAZADO;Sí;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Victoria Tejada;221913490;21;Sí;Rural;M;Unión Libre;Familia;COMUNIDAD NEGRA;No;Sí;1
MERCADEO;Vito Soler Valentín;957198505;51;No;Rural;M;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lidia de Torres;893296576;25;No;Urbana;F;Unión Libre;Beca;COMUNIDAD NEGRA;No;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Dafne Soraya Gallart Seguí;352864795;42;No;Rural;F;Madre soltera;Familia;REGULAR PREGRADO;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Ana Belén del Ortiz;718640614;51;Sí;Rural;F;Unión Libre;Familia;DESPLAZADO;Sí;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Sol Almeida Diaz;645127785;27;No;Urbana;M;Religioso;Familia;REGULAR PREGRADO;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;Maribel Escolano Pozuelo;984492532;44;No;Rural;F;Divorciado;Beca;REGULAR PREGRADO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Urbano Alcaraz Cabello;664891639;50;No;Rural;F;Unión Libre;Beca;DESPLAZADO;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Lina Arregui Galan;530108304;48;No;Rural;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Adelia Peña-Cuéllar;952526936;18;Sí;Rural;F;Casado;Beca;PUEBLO INDIGENA;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Ramón Pujadas Vilaplana;215518836;34;Sí;Rural;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Vanesa Aguilera Cabañas;494584898;45;No;Urbana;M;Divorciado;Crédito;DESPLAZADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Narciso Sola Hernández;330803779;43;Sí;Rural;F;Casado;Recursos Propios;REGULAR PREGRADO;Sí;Sí;2
ADMINISTRACIÓN FINANCIERA;Perla Cuervo Corral;346434890;21;Sí;Urbana;F;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
MERCADEO;Lisandro Abella Robledo;840714857;32;Sí;Rural;M;Religioso;Beca;REGULAR PREGRADO;Sí;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Geraldo Tirado Vallejo;65161087;39;No;Rural;F;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Margarita Rosell;876247286;23;Sí;Rural;M;Madre soltera;Recursos Propios;REGULAR PREGRADO;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Javiera Cerdá Oller;263409214;41;No;Urbana;F;Casado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jacobo Ripoll Martin;766033062;25;No;Urbana;M;Divorciado;Familia;COMUNIDAD NEGRA;No;Sí;2
MERCADEO;Albert Español Sainz;615580444;29;Sí;Rural;F;Casado;Familia;PUEBLO INDIGENA;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Luisa de Tello;854014352;32;Sí;Rural;M;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Reina Casanovas Santana;47147829;46;Sí;Rural;F;Religioso;Recursos Propios;COMUNIDAD NEGRA;No;Sí;4
MERCADEO;Liliana Francisco Salgado;756547382;28;No;Urbana;M;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
ADMINISTRACIÓN FINANCIERA;Toni Peral-Franch;383867530;32;Sí;Rural;M;Casado;Beca;REGULAR PREGRADO;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Alonso Blanes Casado;227830710;23;Sí;Rural;F;Unión Libre;Beca;REGULAR PREGRADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Amanda Bou Robledo;558199934;47;Sí;Urbana;M;Divorciado;Familia;PUEBLO INDIGENA;Sí;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Fabiola del Corral;480438688;49;Sí;Urbana;F;Madre soltera;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;María Cristina Ferrero-Villalobos;899683916;18;Sí;Urbana;F;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
MERCADEO;Reyes Benigna Cueto Villar;592277244;16;No;Urbana;M;Religioso;Crédito;COMUNIDAD NEGRA;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Viviana Abascal Palomares;529134313;29;Sí;Rural;M;Casado;Crédito;COMUNIDAD NEGRA;Sí;No;4
MERCADEO;Toño Inocencio Baños Julián;885889874;26;Sí;Rural;F;Unión Libre;Beca;REGULAR PREGRADO;No;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Sol Judith Suárez Bernad;355937023;33;No;Urbana;M;Casado;Familia;REGULAR PREGRADO;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Montserrat Losa-Escalona;506209052;16;No;Rural;F;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;5
ADMINISTRACIÓN FINANCIERA;Samanta Mancebo Cuesta;936344453;39;Sí;Urbana;M;Soltero;Crédito;DESPLAZADO;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Margarita Roldan Sevilla;314278799;52;Sí;Urbana;F;Casado;Familia;DESPLAZADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Nereida Guillen;327545576;39;No;Rural;F;Casado;Recursos Propios;REGULAR PREGRADO;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Nazaret Zabaleta-Sarabia;810764298;32;Sí;Urbana;M;Religioso;Crédito;DESPLAZADO;Sí;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Agustín de Bustos;439633170;17;Sí;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ámbar del Adadia;592615708;41;Sí;Urbana;F;Divorciado;Recursos Propios;PUEBLO INDIGENA;Sí;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Juan Francisco de Alarcón;999844055;38;No;Rural;M;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
MERCADEO;Matías Bermejo;995591897;43;Sí;Urbana;M;Casado;Recursos Propios;PUEBLO INDIGENA;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Edelmira Áurea Pombo Vicens;583595468;22;No;Rural;M;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Joaquina Garcés Gallardo;654278393;43;Sí;Rural;M;Madre soltera;Recursos Propios;REGULAR PREGRADO;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Matías Chacón Baena;883969782;35;No;Rural;M;Casado;Recursos Propios;PUEBLO INDIGENA;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Adela Ferrández Escamilla;583127053;32;Sí;Rural;F;Madre soltera;Recursos Propios;DESPLAZADO;Sí;No;1
MERCADEO;Leonor Luna Rueda Mascaró;801501111;38;Sí;Urbana;F;Casado;Familia;REGULAR PREGRADO;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Eutropio Fonseca Escalona;869687245;50;Sí;Rural;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Noelia Saturnina Romeu Palma;776067211;39;Sí;Urbana;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Coral Gracia Borrell;950988202;36;Sí;Urbana;F;Casado;Familia;REGULAR PREGRADO;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Odalis de Coll;79789438;50;Sí;Urbana;F;Divorciado;Familia;PUEBLO INDIGENA;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Manola Julián Torrent;220844214;36;Sí;Rural;M;Casado;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;4
MERCADEO;Regina Páez Piñeiro;337487549;35;Sí;Rural;M;Religioso;Crédito;PUEBLO INDIGENA;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Joaquina Miriam Benitez Rey;304432299;32;No;Rural;F;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Luna Cuadrado Salazar;801990661;45;Sí;Rural;F;Madre soltera;Beca;COMUNIDAD NEGRA;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rafael Aguilar Miralles;203437829;21;No;Rural;M;Religioso;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Máxima Silva Aragón;288453576;50;Sí;Rural;F;Divorciado;Recursos Propios;REGULAR PREGRADO;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Fabiola Carmona Expósito;505075005;19;Sí;Urbana;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
MERCADEO;Jeremías Araujo;765590093;23;Sí;Rural;F;Divorciado;Familia;DESPLAZADO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Efraín del Alemany;798180040;50;No;Urbana;M;Soltero;Recursos Propios;DESPLAZADO;No;Sí;3
MERCADEO;Manuela Castejón-Plana;112101637;31;No;Urbana;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Samu Osorio Chaves;834096363;31;No;Rural;M;Religioso;Recursos Propios;PUEBLO INDIGENA;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Maricruz Felipa Clemente Ferrández;273947886;47;No;Urbana;M;Divorciado;Familia;DESPLAZADO;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jose Carlos Sanabria Lluch;410924693;29;No;Rural;M;Divorciado;Beca;COMUNIDAD NEGRA;Sí;Sí;4
MERCADEO;Eusebia Izaguirre Macías;80831570;17;No;Urbana;M;Unión Libre;Beca;REGULAR PREGRADO;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Fanny Sarmiento;15073432;18;Sí;Rural;F;Divorciado;Crédito;PUEBLO INDIGENA;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;David Gómez Ripoll;331396387;37;Sí;Rural;F;Soltero;Recursos Propios;DESPLAZADO;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Balduino Peiró Pinto;916716071;39;No;Urbana;F;Soltero;Familia;DESPLAZADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Aurelia Urrutia Vargas;475104637;27;Sí;Urbana;M;Religioso;Crédito;COMUNIDAD NEGRA;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Félix Conesa Flor;751208152;17;No;Urbana;F;Unión Libre;Familia;PUEBLO INDIGENA;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Efraín Cánovas Gonzalez;482147249;50;Sí;Urbana;F;Religioso;Recursos Propios;REGULAR PREGRADO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Santiago Escobar Nicolás;586929055;41;Sí;Urbana;F;Unión Libre;Beca;DESPLAZADO;Sí;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Germán Galvez Palomino;933327031;23;No;Urbana;M;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Carmelita Lilia Sainz Palomar;902581080;34;Sí;Urbana;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Eduardo Comas-Linares;84956289;16;No;Rural;F;Religioso;Crédito;REGULAR PREGRADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Rodrigo Trillo-Díez;285429136;47;Sí;Rural;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Saturnina de Tamayo;870821336;21;No;Rural;M;Divorciado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Luz del Somoza;432739423;38;No;Rural;F;Unión Libre;Familia;PUEBLO INDIGENA;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Roberta Lasa Cantón;984369338;22;No;Urbana;F;Soltero;Recursos Propios;COMUNIDAD NEGRA;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Mayte Calvet Parejo;183099328;35;No;Urbana;M;Madre soltera;Familia;PUEBLO INDIGENA;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Graciela Marcos;93112404;40;No;Rural;F;Soltero;Familia;COMUNIDAD NEGRA;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Maristela Prado Falcó;261019060;35;No;Urbana;M;Religioso;Beca;DESPLAZADO;Sí;No;5
MERCADEO;Eloísa Sanz Amo;620259000;51;Sí;Urbana;M;Unión Libre;Beca;DESPLAZADO;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Gastón Amo-Zapata;780367980;26;No;Urbana;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Verónica Agustín Benavides;73866257;42;No;Urbana;F;Religioso;Recursos Propios;PUEBLO INDIGENA;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Melisa Dávila Atienza;327552707;19;Sí;Urbana;M;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Gema Chacón Lorenzo;933646161;27;Sí;Rural;F;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Amador Aranda Echevarría;132657475;27;Sí;Urbana;F;Religioso;Beca;REGULAR PREGRADO;No;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Olalla Llabrés Llano;67127997;49;Sí;Rural;F;Casado;Beca;COMUNIDAD NEGRA;Sí;Sí;5
MERCADEO;Danilo Gomis Llabrés;227013755;28;Sí;Urbana;F;Divorciado;Crédito;PUEBLO INDIGENA;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Azucena Fajardo-Mosquera;826757237;45;No;Urbana;F;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Joel Goicoechea Estrada;384055075;51;No;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;Sí;Sí;5
ADMINISTRACIÓN FINANCIERA;Olimpia Espada;719118755;40;Sí;Rural;M;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;Sí;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Vinicio Izquierdo Pacheco;487989989;31;No;Rural;F;Soltero;Crédito;COMUNIDAD NEGRA;Sí;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Baldomero García;932576154;19;No;Rural;M;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Fidela Muñoz Gomila;11625037;43;No;Urbana;F;Casado;Recursos Propios;COMUNIDAD NEGRA;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Juan Manuel Conde;767063392;22;No;Rural;F;Casado;Familia;PUEBLO INDIGENA;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Mayte Farré Vicente;430412781;42;Sí;Rural;F;Madre soltera;Crédito;REGULAR PREGRADO;No;Sí;1
MERCADEO;Candelaria Serra Martin;958214661;54;Sí;Urbana;F;Divorciado;Beca;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Sebastian Quiroga Nebot;342648866;53;No;Urbana;F;Casado;Beca;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Maxi Fabra Gomez;155447139;27;Sí;Urbana;M;Soltero;Crédito;DESPLAZADO;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ruben Beltrán Ortuño;272068344;27;Sí;Urbana;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Bruno Calatayud Salamanca;314855650;41;Sí;Urbana;M;Casado;Crédito;REGULAR PREGRADO;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Cintia Alcázar Riquelme;911512872;28;Sí;Rural;M;Divorciado;Crédito;DESPLAZADO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Sabina Arrieta Carrión;432771797;49;Sí;Rural;F;Soltero;Beca;DESPLAZADO;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ariel Huguet Milla;256928739;47;Sí;Rural;F;Soltero;Familia;COMUNIDAD NEGRA;Sí;Sí;5
MERCADEO;Nicolasa Doménech Barriga;290422491;52;No;Urbana;M;Divorciado;Familia;REGULAR PREGRADO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Salomón Vilaplana-Aguilera;24119831;19;No;Urbana;F;Casado;Crédito;DESPLAZADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Che Castells;652032191;46;No;Rural;M;Religioso;Recursos Propios;REGULAR PREGRADO;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Cosme Iriarte-Sevilla;761224705;52;Sí;Rural;M;Soltero;Beca;DESPLAZADO;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Mateo del Roma;90961698;41;Sí;Rural;F;Soltero;Familia;DESPLAZADO;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Gisela Alberola Valcárcel;800896186;43;Sí;Rural;F;Casado;Beca;REGULAR PREGRADO;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Gustavo Sedano Borrego;333072258;41;No;Urbana;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Nico de Bravo;330264227;30;No;Urbana;F;Unión Libre;Recursos Propios;PUEBLO INDIGENA;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Amancio Urrutia Pi;815895847;30;Sí;Urbana;M;Soltero;Recursos Propios;PUEBLO INDIGENA;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Cirino Garmendia Figueras;534977773;47;No;Urbana;M;Casado;Familia;PUEBLO INDIGENA;Sí;Sí;1
MERCADEO;Borja Eutimio Méndez Blanch;194812405;40;No;Rural;M;Unión Libre;Familia;PUEBLO INDIGENA;No;No;4
